NAERING,GYLDIG_FOM,GYLDIG_TOM,NAERING_KORT,NAERING_LANG,TYPE,GRLNAERING,KNRNAERING,A64N_NAERING,A64_NAERING,A64NP,PUBAGG,A38NP,A21NP,A64EU_NAERING,A88
23690,1970,9999,"Tj.jus,regnskap","Juridisk og regnskapsmessig tjenesteyting",B,23695,2370,2370,2369,2X69_70,2X69_75,2X69_71,2X69_75,M69_70,2X69
23700,1970,9999,Hvdkont.adm.råd,"Hovedkontortjenester, administrativ rådgivning",B,23695,2370,2370,2369,2X69_70,2X69_75,2X69_71,2X69_75,M69_70,2X70
23710,1970,9999,Arkitekt.tek.kon,"Arkitektvirksomhet og teknisk konsulentvirksomhet, og teknisk prøving og analyse",B,23695,2370,2371,2371,2X71,2X69_75,2X69_71,2X69_75,M71,2X71
23720,1970,9999,"FoU arb","Forskning og utviklingsarbeid",B,23720,2372,2372,2372,2X72,2X69_75,2X72,2X69_75,M72,2X72
23730,1970,9999,Reklame.mark.un,"Annonse- og reklamevirksomhet og markedsundersøkelser",B,23730,2373,2373,2373,2X73,2X69_75,2X73_75,2X69_75,M73,2X73
23740,1970,9999,Fag.vit.teknINAS,"Annen faglig, vitenskapelig og teknisk virksomhet",B,23740,2373,2374,2374,2X74_75,2X69_75,2X73_75,2X69_75,M74_75,2X74
23750,1970,9999,Veterinærtj.,Veterinærtjenester,B,23750,2373,2374,2374,2X74_75,2X69_75,2X73_75,2X69_75,M74_75,2X75
23770,1970,9999,"Utleie,leasing","Utleie- og leasingvirksomhet",B,23779,2377,2377,2377,2X77,2X77_82,2X77_82,2X77_82,N77,2X77
23780,1970,9999,Arbeidskrafttjen,Arbeidskrafttjenester,B,23779,2377,2378,2378,2X78,2X77_82,2X77_82,2X77_82,N78,2X78
23791,1970,9999,Reisebyråer,"Reisebyråvirksomhet, turistkontor samt tilknyttede tjenester",B,23790,2377,2379,2379,2X79,2X77_82,2X77_82,2X77_82,N79,2X79
23792,1970,9999,Reise/akt.arrang,"Reisearrangørvirksomhet og andre aktivitetsarrangører",B,23790,2377,2379,2379,2X79,2X77_82,2X77_82,2X77_82,N79,2X79
23800,1970,9999,Vakttj.etterfors,"Vakttjeneste og etterforsking",B,23779,2377,2380,2380,2X80_82,2X77_82,2X77_82,2X77_82,N80T82,2X80
23810,1970,9999,"Tj. Eiend.drift","Tjenester tilknyttet eiendomsdrift",B,23779,2377,2380,2380,2X80_82,2X77_82,2X77_82,2X77_82,N80T82,2X81
23820,1970,9999,"Forret.tj. INAS","Annen forretningsmessig tjenesteyting",B,23779,2377,2380,2380,2X80_82,2X77_82,2X77_82,2X77_82,N80T82,2X82
23850,1970,9999,Undervisning,Undervisning,B,23850,2385,2385,2385,2X85,2X85,2X85,2X85,P85,2X85
23860,1970,9999,Helsetjenester,Helsetjenester,B,23860,2386,2386,2386,2X86,2X86_88,2X86,2X86_88,Q86,2X86
23870,2011,9999,Omsorgstjenester,Omsorgstjenester,B,23870,2387,2387,2387,2X87_88,2X86_88,2X87_88,2X86_88,Q87_88,2X87
23882,1970,9999,"Barnehager, SFO","Barnehager og SFO",B,23882,2387,2387,2387,2X87_88,2X86_88,2X87_88,2X86_88,Q87_88,2X88
23889,1970,9999,Vekstbedrifter,Vekstbedrifter,B,23889,2387,2387,2387,2X87_88,2X86_88,2X87_88,2X86_88,Q87_88,2X88
23900,1970,9999,Kunst.Vir&underh,"Kunstnerisk virksomhet og underholdningsvirksomhet",B,23905,2390,2390,2390,2X90_92,2X90_97,2X90_93,2X90_93,R90T92,2X90
23910,1970,9999,Bibl.mus.a.kultu,"Drift av biblioteker, arkiver, museer og annen kulturvirksomhet",B,23905,2390,2390,2390,2X90_92,2X90_97,2X90_93,2X90_93,R90T92,2X91
23920,1970,9999,"Lotteri og spill","Lotteri og totalisatorspill",B,23905,2390,2390,2390,2X90_92,2X90_97,2X90_93,2X90_93,R90T92,2X92
23930,1970,9999,Sport-fritidsakt,"Sports- og fritidsaktiviteter",B,23930,2390,2393,2393,2X93,2X90_97,2X90_93,2X90_93,R93,2X93
