PRODUKT,GYLDIG_FOM,GYLDIG_TOM,LAGER_MOTTAK,PRODUKT_KORT,PRODUKT_LANG,GRLPRODUKT,KNRPRODUKT,A64N_PRODUKT,A64_PRODUKT,IKKE_VHM,A38NP,A64NP,PUBAGG,I_U,V_T,A64EU_PRODUKT
019138,1970,9999,87400,Inv.arb.B&A,"Investeringsarbeider jordbruk, bygninger og anlegg",011,011,011,010,,01_03,,prim,,V,CPA_A01
021020,1970,9999,87400,"Inv. skogkultur","Investeringsarbeid, skogkultur",022,020,020,020,,01_03,,prim,,V,CPA_A02
022010,1970,9999,87000,"Tømmer,bartre","Rundtømmer av bartrær",022,020,020,020,,01_03,,prim,I,V,CPA_A02
022020,1970,9999,87000,"Tømmer,løv,trop.","Rundtømmer av løvtrær og tropiske tresorter",022,020,020,020,,01_03,,prim,I,V,CPA_A02
022040,1970,9999,87000,Ved,Ved,021,020,020,020,,01_03,,prim,I,V,CPA_A02
022049,1970,9999,87000,"Ved, EB.","Ved. Eget bruk",021,020,020,020,1,01_03,,prim,,V,CPA_A02
023000,1970,9999,87000,"Pyntegrønt mv.","Pyntegrønt og andre viltvoksende produkter av annet enn tre",022,020,020,020,,01_03,,prim,I,V,CPA_A02
024010,1970,9999,87400,Tj.skogbruk,"Tjenester tilknyttet skogbruk",022,020,020,020,,01_03,,prim,,V,CPA_A02
024020,1970,9999,87400,"Entrep.tj. skog","Entrepenørtjenester tilknyttet skogbruk",022,020,020,020,,01_03,,prim,,V,CPA_A02
029029,1970,9999,87940,"Lagerendr. skog","Lagerendring, vekst i dyrket skog",022,020,020,020,,01_03,,prim,,V,CPA_A02
029118,1970,9999,87400,Inv.arb.Skog/vei,"Investeringsarbeider skogbruk, vegbygging",022,020,020,020,,01_03,,prim,,V,CPA_A02
031110,1970,9999,87000,"Laks,ørret,fersk","Laks og ørret, fersk eller kjølt",031,031,031,030,,01_03,,prim,I,V,CPA_A03
031120,1970,9999,87000,"Sild,brisling mv","Sild, brisling og lodde, fersk eller kjølt",031,031,031,030,,01_03,,prim,I,V,CPA_A03
031130,1970,9999,87000,"Torsk, fersk","Torsk, fersk eller kjølt",031,031,031,030,,01_03,,prim,I,V,CPA_A03
031140,1970,9999,87000,"Sei,hyse mv.","Sei, hyse mv.",031,031,031,030,,01_03,,prim,I,V,CPA_A03
031150,1970,9999,87000,"Makrell, fersk","Makrell, fersk eller kjølt",031,031,031,030,,01_03,,prim,I,V,CPA_A03
031160,1970,9999,87000,"Fisk fersk INAS","Fiskeslag ellers, fersk eller kjølt",031,031,031,030,,01_03,,prim,I,V,CPA_A03
031169,1970,9999,87000,"Fisk EB.","Fisk. Eget bruk",031,031,031,030,1,01_03,,prim,,V,CPA_A03
031310,1970,9999,87000,"Skalldyr mv.","Reker, andre skalldyr og bløtdyr",031,031,031,030,,01_03,,prim,I,V,CPA_A03
031380,1970,9999,87000,"Sjøprodukt,inas","Sjøprodukter ellers",031,031,031,030,,01_03,,prim,I,V,CPA_A03
031500,1970,9999,87000,Perler,Perler,031,031,031,030,,01_03,,prim,I,V,CPA_A03
031690,1970,9999,87000,"Sel,hvalfangst","Sel- og hvalfangst",031,031,031,030,,01_03,,prim,,V,CPA_A03
031700,1970,9999,87400,Tj.fiske_fangst,"Tjenester tilknyttet fiske og fangst",031,031,031,030,,01_03,,prim,,V,CPA_A03
032199,1970,9999,87930,Lagerendr.fiskop,"Lagerendring fiskeoppdrett",032,032,032,030,,01_03,,prim,,V,CPA_A03
032310,1970,9999,87000,"Laks,ørret,oppdr","Laks og ørret, oppdrett",032,032,032,030,,01_03,,prim,B,V,CPA_A03
032320,1970,9999,87000,"Torsk, oppdrett","Torsk, fersk eller kjølt, oppdrett",032,032,032,030,,01_03,,prim,B,V,CPA_A03
032330,1970,9999,87000,"Fiske inas oppdr","Fiskeslag ellers, fersk eller kjølt, oppdrett",032,032,032,030,,01_03,,prim,B,V,CPA_A03
032350,1970,9999,87000,"yngel,settef. mv","Fiskeyngel, settefisk, akvariefisk mv",032,032,032,030,,01_03,,prim,I,V,CPA_A03
039118,1970,9999,87400,Inv.fiske/mask.m,"Investeringsarbeider fiske, maskiner mv.",031,031,031,030,,01_03,,prim,,V,CPA_A03
039129,1970,9999,87400,"Inntekt fraktfar","Inntekt av fraktfart",031,031,031,030,,01_03,,prim,,V,CPA_A03
050000,1970,9999,87000,"Bryting,steinkul","Bryting av steinkull",051,050,050,060,,05_09,,050,I,V,CPA_B
060010,1970,9999,87000,Råolje,Råolje,061,061,061,060,,05_09,,oljegs,I,V,CPA_B
060020,1970,9999,87000,Naturgass,Naturgass,064,062,062,060,,05_09,,oljegs,I,V,CPA_B
060030,1970,9999,87000,"Naturgass (LNG)","Naturgass i flytende form (LNG)",065,062,062,060,,05_09,,oljegs,I,V,CPA_B
060058,1970,9999,87400,"Eg.inv. oljeV.","Egne investeringsarbeider i oljevirksomhet",394,392,392,060,,05_09,,tjllers,,T,CPA_B
070000,1970,9999,87000,"Metallhold malm","Metallholdig malm",075,050,050,060,1,05_09,,050,I,V,CPA_B
081100,1970,9999,87000,"Bryting,stein mv","Bryting av stein til bygge- og anleggsvirksomhet,kalkstein,gips, kritt og skifer",075,050,050,060,,05_09,,050,I,V,CPA_B
081200,1970,9999,87000,"Grus,sand, mv","Grus, sand leire og kaolin",075,050,050,060,,05_09,,050,I,V,CPA_B
089100,1970,9999,87000,"Kjemiske mineral","Kjemiske mineraler og gjødselsmineraler",075,050,050,060,,05_09,,050,I,V,CPA_B
089900,1970,9999,87000,"pim-, slipestein","pimpesten slipessten granat  naturlig asfalt",075,050,050,060,1,05_09,,050,I,V,CPA_B
091010,1970,9999,87300,"Boring,olje,gass","Boring etter olje og gass (inkl. legging av rør)",090,090,090,060,,05_09,,oljdiv,U,T,CPA_B
091090,1970,9999,87950,A.tj.ojeV.,"Andre tjenester tilknyttet olje- og gassutvinning",090,090,090,060,,05_09,,oljdiv,U,T,CPA_B
099000,1970,9999,87300,"Tj.A.bergverk,ut","Tjenester tilknyttet annen bergverksdrift og utvinning",079,050,050,060,,05_09,,050,,V,CPA_B
101110,1970,9999,87000,"Kjøtt,storfe ffk","Kjøtt av storfe, ferskt, fryst eller kjølt",101,100,101,100,,10_12,,nyt,B,V,CPA_C10T12
101120,1970,9999,87000,"Kjøtt,svin, ffk","Kjøtt av svin, ferskt , fryst eller kjølt",101,100,101,100,,10_12,,nyt,I,V,CPA_C10T12
101130,1970,9999,87000,"Kjøtt av sau og","Kjøtt av sau og geit",101,100,101,100,,10_12,,nyt,I,V,CPA_C10T12
101140,1970,9999,87000,"Slakteavfall, sp","Slakteavfall, spiselig",101,100,101,100,,10_12,,nyt,I,V,CPA_C10T12
101190,1970,9999,87000,"Kjøtt- og slakte","Kjøtt- og slakteavfall ellers",101,100,101,100,,10_12,,nyt,I,V,CPA_C10T12
101210,1970,9999,87000,"Kjøtt av fjerkre","Kjøtt og slakteavfall av fjerkre, fersk, fryst eller kjølt",101,100,101,100,,10_12,,nyt,I,V,CPA_C10T12
101250,1970,9999,87000,"Dun og fjær","Dun og fjær",101,100,101,100,,10_12,,nyt,I,V,CPA_C10T12
101310,1970,9999,87000,"Kjøtt- og slakte","Kjøtt- og slakteavfall, saltet, tørket eller røkt",101,100,101,100,,10_12,,nyt,I,V,CPA_C10T12
101320,1970,9999,87000,"Kjøtt o.l. tilbe","Kjøtt o.l. tilberedt eller konservert",101,100,101,100,,10_12,,nyt,B,V,CPA_C10T12
101330,1970,9999,87000,"Mel og pelleter","Mel og pelleter av kjøtt",101,100,101,100,,10_12,,nyt,I,V,CPA_C10T12
101340,1970,9999,87000,"Matlaging og til","Matlaging og tilberedning",101,100,101,100,,10_12,,nyt,,V,CPA_C10T12
102010,1970,9999,87000,"Fisk,fileter kjø","Fisk og fiskefileter, kjølt",102,102,102,100,,10_12,,nyt,I,V,CPA_C10T12
102020,1970,9999,87000,"Fisk,fileter fry","Fisk og fiskefileter, fryst",102,102,102,100,,10_12,,nyt,B,V,CPA_C10T12
102030,1970,9999,87000,"Fisk,saltet,tørk","Fisk, saltet, tørket eller røkt",102,102,102,100,,10_12,,nyt,I,V,CPA_C10T12
102040,1970,9999,87000,"Fisk, tilberedt","Fisk, tilberedt eller konservert",102,102,102,100,,10_12,,nyt,B,V,CPA_C10T12
102050,1970,9999,87000,"Skalldyr tilbere","Kreps, reker og bløtdyr, fryst, tlberedt eller konservert",102,102,102,100,,10_12,,nyt,I,V,CPA_C10T12
102060,1970,9999,87000,"Fiskemel o.l.","Fiskemel o.l.",102,102,102,100,,10_12,,nyt,I,V,CPA_C10T12
102070,1970,9999,87000,"Industrifisk mv.","Industrifisk, hoder og annet fiskeavfall",102,102,102,100,,10_12,,nyt,I,V,CPA_C10T12
103100,1970,9999,87000,"tørket,potet mv.","tørket, potet, Mel og flak av poteter",103,100,103,100,,10_12,,nyt,B,V,CPA_C10T12
103200,1970,9999,87000,"Frukt.og gr.saft","Frukt- og grønnsaksaft",103,100,103,100,,10_12,,nyt,I,V,CPA_C10T12
103910,1970,9999,87000,"Frosne grønnsak","Frosne grønnsaker",103,100,103,100,,10_12,,nyt,B,V,CPA_C10T12
103920,1970,9999,87000,"Frukt,nøtter,tør","Frukt og nøtter, tørket eller konservert",103,100,103,100,,10_12,,nyt,I,V,CPA_C10T12
103930,1970,9999,87000,"Syltetøy,purè","Syltetøy, fruktgele samt puré og mos av frukter og nøtter",103,100,103,100,,10_12,,nyt,B,V,CPA_C10T12
104000,1970,9999,87000,"Veget,anim olje","Vegetabilske og animalske oljer og fettstoffer",104,100,103,100,,10_12,,nyt,I,V,CPA_C10T12
